Country Code,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CYP,Cyprus,32416,Press Freedom Index,Total,,20.83,22,5.5,7.5,14,7.5,5.5,13.4,NA,NA,13.83,14.45,16.52,18.26,NA,19.79,19.85
CZE,Czech Republic,32416,Press Freedom Index,Total,11.3,2.5,3.5,1,0.75,4,4,5,7.5,NA,NA,10.17,10.07,11.62,16.66,NA,16.91,21.89
DNK,Denmark,32416,Press Freedom Index,Total,3,1,0.5,0.5,5,2,3.5,0,2.5,NA,NA,7.08,7.43,8.24,8.89,NA,10.36,13.99
DOM,Dominican Republic,32416,Press Freedom Index,Total,,17,6.75,12.25,12.75,22.75,18,26.83,26.13,NA,NA,28.34,27.17,27.31,27.9,NA,26.76,26.79
ECU,Ecuador,32416,Press Freedom Index,Total,5.5,7.67,16.5,21.75,15.25,18.5,15.5,20,27.5,NA,NA,34.69,31.16,33.65,33.21,NA,33.64,30.56
EGY,"Egypt, Arab Rep.",32416,Press Freedom Index,Total,34.5,34.25,43.5,52,46.25,58,50.25,51.38,43.33,NA,NA,48.66,51.89,50.17,54.45,NA,55.78,56.72
SLV,El Salvador,32416,Press Freedom Index,Total,8.8,6.83,6,5.75,10,20.2,12.8,17.25,15.83,NA,NA,22.86,21.57,23.66,27.2,NA,27.24,27.78
GNQ,Equatorial Guinea,32416,Press Freedom Index,Total,42.8,44.75,46.25,44,48,65.25,59.25,65.5,79,NA,NA,67.2,67.95,66.23,66.47,NA,66.47,66.47
ERI,Eritrea,32416,Press Freedom Index,Total,83.7,91.5,93.25,84,97.5,114,97.5,115.5,105,NA,NA,84.83,84.83,84.86,83.92,NA,84.24,84.24
EST,Estonia,32416,Press Freedom Index,Total,,2.5,2,84,2,1,2,0.5,2,NA,NA,9.26,9.63,11.19,14.31,NA,13.55,14.08
SWZ,Eswatini,32416,Press Freedom Index,Total,29,37.5,31,35,40.5,54.5,50.5,52.5,57.5,NA,NA,46.76,46.76,47.28,52.37,NA,51.27,51.46
ETH,Ethiopia,32416,Press Freedom Index,Total,37.5,37.5,37,84,75,63,47.75,49,49.38,NA,NA,39.57,40.58,41.83,45.13,NA,50.34,50.17
FJI,Fiji,32416,Press Freedom Index,Total,,11.5,16,84,14,33.5,16,60,52.75,NA,NA,32.69,32.57,31.28,29.37,NA,28.64,26.55
FIN,Finland,32416,Press Freedom Index,Total,0.5,0.5,0.5,84,0.5,1.5,2,0,0,NA,NA,6.38,6.4,7.52,8.59,NA,8.92,10.26
FRA,France,32416,Press Freedom Index,Total,3.3,4.17,3.5,6.25,9,9.75,7.67,10.67,13.38,NA,NA,21.6,21.89,21.15,23.83,NA,22.24,21.87
GAB,Gabon,32416,Press Freedom Index,Total,20.5,31.25,37.5,26,28.5,31.5,26.75,43.5,28.75,NA,NA,28.69,31.32,31.38,32.2,NA,34.83,32.37
GMB,"Gambia, The",32416,Press Freedom Index,Total,22.5,18.25,29.5,41,54,48.25,42.75,48.25,40.5,NA,NA,45.09,46.42,44.5,46.53,NA,46.7,38.36
GEO,Georgia,32416,Press Freedom Index,Total,,17.33,27.5,25.17,21,20.83,31.25,18.83,27,NA,NA,30.09,29.78,27.7,27.96,NA,27.76,27.34
DEU,Germany,32416,Press Freedom Index,Total,1.5,1.33,2,4,5.5,5.75,4.5,3.5,4.25,NA,NA,10.24,10.23,11.47,14.8,NA,14.97,14.39
GHA,Ghana,32416,Press Freedom Index,Total,23,8.75,13.5,15,8.5,9,7.5,6,8,NA,NA,17.27,16.29,15.5,17.95,NA,17.95,18.41
